Name,Category,Bio,Aliases,Flights,Documents,Connections,In Black Book,Nationality
Isabel Maxwell,socialite,Ghislaine Maxwell's sister; tech executive; listed in Epstein black book; ex-husband Al Seckel provided Epstein reputation management services.,,0,1628,0,Yes,British-American
Israel Englander,business,Billionaire hedge fund manager. Melanie Spinella email confirms Leon Black flew down with Englander to visit Epstein.,Israel A. Englander,0,83,0,No,American
Ivan Rosh,associate,Caller who left a message for Epstein.,,0,13,0,No,
Ivana Trump,socialite,Czech-American businesswoman and first wife of Donald Trump; part of the same 1980s-90s New York social circles as Epstein.,Ivana Marie Zelnickova,0,265,0,Yes,Czech-American
Ivanka Trump,politician,Daughter of Donald Trump; appears in Epstein address book alongside her father and Ivana Trump; photographed with Trump and Epstein in 1993; no wrongdoing alleged.,,0,442,0,No,
J. A. Keller,associate,"Regional Director, Southeast Region.",Keller; J. Keller,0,54,0,No,
J. E.,associate,Recipient of messages.,,0,508,0,No,
J. Ray Ormond,associate,Federal Bureau of Prisons Regional Director for the Northeast who received internal BOP communications following Epstein's death at MCC New York.,"Ormond; J. Ormond; Ormond, Ray",0,512,0,No,
JD Vance,politician,Current VP; on DOJ 305 list; called elite connections 'pretty gross',Vance; James David Vance,0,58,0,No,American
JENNIFER GAFFNEY,associate,Assistant District Attorney at Jeffrey Epstein's SORA hearing.,,0,45,0,No,
JJ Litchford,business,Deutsche Bank Associate Banker; worked on Epstein accounts alongside Amanda Kirby (2014-2016),Jonathan Kemp Litchford; Jonathan Litchford,0,1701,0,No,American
JOHN M. LEVENTHAL,associate,Co-counsel with Arthur L. Aidala.,LEVENTHAL; JOHN LEVENTHAL; Jack M. LEVENTHAL,0,19,0,No,
JP Morgan (Institutional),business,Maintained 55 Epstein accounts 1998-2013; paid $290M settlement; processed over $1B in transactions.,(Institutional); JP (Institutional),0,2825,0,No,American
Jack Horner,academic,Renowned paleontologist who visited Epstein's Zorro Ranch in 2012.,John Robert Horner; John Horner,0,374,0,No,American
Jack Lang,politician,Former French Minister of Culture whose name appears 673 times in Epstein files; under criminal investigation for money laundering since February 2026.,John Lang,0,1286,0,No,French
Jack P. Hill,associate,Attorney for Plaintiff.,Jack Hill; John P. Hill,0,348,0,No,
Jackie Kalin,associate,University nursing student and sister of Jennifer Kalin who received direct financial support from Epstein.,Jackie Kain; Jackie Kahn,0,61,0,No,
Jacqui Safra,business,Billionaire banker; Safra dynasty; black book entry.,Jacob Eli Safra; J.E. Safra; J.E. Beaucaire; Jackie Safra,0,186,0,Yes,Swiss-Brazilian
Jakob Kollhofer,academic,Director of the German-American Institute in Heidelberg who organized a Lawrence Krauss lecture with Epstein copied on arrangements.,Jakob Koellhofer,0,6,0,No,German
James C. Wills,associate,"Former Acting Assistant Director, Reentry Services Division who appointed the team to conduct the psychological recon...",Wills; James Wills; Jim C. Wills,0,107,0,No,
James Ce,associate,NYC-based IT consultant and founder of Personal Genius LLC. Served as Epstein's primary personal technology support p...,james | personal genius; Jim Ce,0,520,0,No,
James Charlick,associate,GAM Investments executive; mentioned in Epstein-related emails.,Jim Charlick,0,4,0,No,
James Christe,associate,Videographer,Jim Christe,0,14,0,No,
James Comey,legal,Former FBI Director; daughter prosecuted Maxwell case; mentioned in news clippings.,Comey; Jim Comey,0,212,0,No,American
James Gladwin,business,"AFC Business Advisory, Anti-Financial Crime division at DBOI Global Services (UK); referenced in Epstein compliance documents.",,0,81,0,No,
James Goldston,other,Journalist listed in Epstein's black book.,Jim Goldston,0,1,0,Yes,British
James L. Brochin,associate,Counsel for Defendant Jeffrey Epstein.,Brochin; James Brochin; Jim L. Brochin,0,12,0,No,
James Murdoch,business,"Media executive, son of Rupert Murdoch; mentioned in Epstein files in news context.",,0,0,0,No,
James Palumbo,politician,Ministry of Sound founder; Baron Palumbo; mentioned in Mandelson-Epstein email.,Lord Palumbo; Jim Palumbo,0,71,0,No,British
James Peterson,associate,Owner of Peterson Properties Real Estate Services Inc.,Jim Peterson,0,53,0,No,
James Petrucci,associate,Recipient of the email.,Jim Petrucci,0,154,0,No,
James R. Marsh,legal,NYC victims' rights attorney who represented Epstein accusers,James R. Mars,0,130,0,No,American
James Stunt,socialite,Businessman listed in Epstein's black book.,Jim Stunt,0,108,0,Yes,British
James Tisch,business,CEO of Loews Corporation; listed in Epstein's black book; father of NYPD Commissioner Jessica Tisch.,Jimmy Tisch; Merryl & Jimmy Tisch; Jim Tisch,0,294,0,Yes,American
Jamie Dimon,business,JPMorgan CEO deposed in Epstein-related lawsuit.,James Dimon,0,303,0,No,American
Jamie Foxx,celebrity,Actor and musician (Ray); named in an unverified FBI tip in Epstein files; no investigation or charges.,,0,31,0,No,
Jamie Raskin,politician,House Judiciary ranking member; addressee of DOJ 305 letter; transparency advocate.,Raskin,0,20,0,No,American
Jane,other,Maxwell trial witness (pseudonym); abused from age 14.,Maxwell Trial Pseudonym,0,0,0,No,American
Jane Doe #1,associate,Petitioner,Jane #1,0,2133,0,No,
Jane Doe #2,associate,Petitioner,Jane #2,0,2172,0,No,
Jane Doe No. #3,associate,Proposed additional petitioner.,Jane #3,0,455,0,No,
Jane Doe No. 4,associate,Proposed additional petitioner.,Jane 4,0,396,0,No,
Jane Does,associate,Victim who filed an emergency petition alleging CVRA violations.,,0,18953,0,No,
Janet Reno,legal,First female AG; served during early Epstein period; former Miami-Dade State Attorney.,Reno,0,127,0,No,American
Janice Dickinson,celebrity,Supermodel and TV personality; 2 phone numbers in Epstein's black book; no allegations of wrongdoing.,Janice Doreen Dickinson,0,31,0,Yes,American
Janis Hartley,politician,Bill Richardson's deputy chief of staff; linked to Epstein clemency attempts.,,0,53,0,No,American
Jared Kushner,politician,Trump's son-in-law; 2013 Observer invitation to Epstein; referenced in Ambani-Epstein messages.,Kushner,0,177,0,No,American
Jason Calacanis,business,Tech investor who connected Epstein to Bitcoin developers in 2011.,,0,73,0,No,American
Jay Clayton,associate,United States Attorney for the Southern District of New York.,,0,130,0,No,
Jay-Z,celebrity,Hip-hop mogul; on DOJ 305 list; named in 2019 anonymous FBI tip citing a circa-1996 incident; tip not corroborated; no charges or formal investigation.,Shawn Carter; Jay Z; JAY-Z,0,0,0,No,American
Jean Doumanian,business,TV/film producer; former SNL producer; black book entry.,,0,70,0,Yes,American
Jean Huguen,associate,"Paris interior designer hired for Epstein's Avenue Foch apartment; appears in 1,215 documents but has received no mainstream media coverage.",,0,1215,0,No,French
Jean Luc Bernard,associate,potential deponent,Bernard; Jean Bernard,0,166,0,No,
Jean Pierre Bourgeois,other,French contact listed in Epstein's black book.,Bourgeois; Jean Bourgeois,0,1,0,Yes,French
Jean Pigozzi,socialite,Businessman and art collector in Epstein's social circle,Johnny Pigozzi,0,382,0,No,Italian-French
Jean Todt,business,Former FIA president mentioned in Epstein's social circle,,0,21,0,No,French
Jean-Georges Vongerichten,other,Celebrity chef listed in Epstein's black book.,,0,4,0,Yes,French-American
Jean-Jacques Galtier,other,French dentist listed in Epstein's black book.,,0,0,0,Yes,French
Jean-Marie Le Pen,politician,French far-right politician; 2 black book numbers; daughter Marine cited 88 times in EFTA files; died 2025.,Jean-Marie Pen,0,3,0,Yes,French
Jeff Bezos,business,Amazon founder in Epstein's black book; named in 2009 Maxwell email and 2011 Edge dinner list; no allegations of wrongdoing.,Jeffrey Preston Bezos; Jeffrey Bezos,0,276,0,Yes,American
Jeff Holman,associate,Person who made a phone call.,Jeffrey Holman,0,44,0,No,
Jeff Koons,celebrity,"American contemporary artist known for large-scale sculpture and Neo-Pop art, including the Balloon Dog series and works sold for record auction prices. Named in 376 Epstein-related documents released by the DOJ in 2026. Attended a September 2013 dinner at Epstein's Upper East Side home with Woody Allen and MIT professor Neil Gershenfeld, which Koons says was arranged by Gershenfeld. Epstein's November 2013 schedule listed a planned visit to Koons's studio, though Koons states Epstein never visited. His gallery, Gagosian, handled art transactions for Epstein associate Leon Black. Koons has stated he did not have a relationship with Epstein beyond attending the single dinner.",Jeffrey Koons,0,555,0,No,American
Jeff Sessions,politician,Former AG 2017-2018; subpoenaed by House Oversight in 2025 over DOJ handling of Epstein case during his tenure; on DOJ 305-person list.,Sessions; Jefferson Sessions; Jeffrey Sessions,0,344,0,No,American
Jeff Zucker,business,Former CNN president; wife photographed with Maxwell; often confused with Zuckerman.,Zucker; Jeffrey Zucker,0,30,0,No,American
Jeffery A. Martin,academic,"Academic researcher, author.",Martin; Jeffery Martin,0,65,0,No,
Jeffery Pagliuca,associate,Attorney representing Ghislaine Maxwell.,,0,16,0,No,
Jeffrey Fuller,associate,MC2 business associate connected to Epstein funding.,Jeff Fuller,0,310,0,No,American
Jeffrey H. Sloman,legal,First Assistant U.S. Attorney (SDFL) who supervised the Epstein plea deal. Now at Stumphauzer Kolaya Nadler & Sloman.,Jeff Sloman; Mr. Sloman; Mr Sloman; Sloman; Jeffrey Sloman; Jeff H. Sloman,0,763,0,No,
Jeffrey Jones,business,Business contact listed in Epstein's black book.,Jeff Jones,0,6,0,Yes,American
Jeffrey M. Herman,associate,Miami attorney and co-founder of Herman and Mermelstein PA who represented multiple Epstein victims in civil litigation from 2008 onward.,Herman; Jeffrey Herman; Jeff M. Herman,0,405,0,No,
Jeffrey Oestericher,associate,Assistant United States Attorney.,Jeff Oestericher,0,3,0,No,
Jeffrey Sachs,academic,"American economist and Columbia University professor known for his work on sustainable development, poverty reduction, and macroeconomic policy. Director of the Earth Institute at Columbia and later the Center for Sustainable Development. Sachs received funding from Jeffrey Epstein for economic research initiatives and appeared on Epstein's donor lists, a relationship that drew scrutiny after Epstein's 2019 arrest. Sachs acknowledged the funding and expressed regret over the association.",Jeff Sachs,0,463,0,No,American
"Jeffrey, J.",associate,"person whose relationship with the speaker is being kept secret, and someone who needs help with work.",,0,161,0,No,
Jena Masquelier,associate,Individual who communicated with Epstein associates via email. Appears in 261 documents across multiple EFTA datasets.,,0,286,0,No,
Jenna Mulhall-Brereton,other,Introduced by Epstein to Nina K.; Gates Foundation correspondence.,Jenna Mulhall; Jenna Brereton,0,23,0,No,
Jennifer Jacquet,academic,Academic with 200+ file mentions; sought Epstein funding 2011-2012; connected via John Brockman.,JJ,0,364,0,No,American
Jennifer Turner,associate,Name on AMEX sub-accounts paired with Ghislaine Maxwell (2010-2017). Investigated by FBI as possible Maxwell alias.,,0,24,0,No,
Jens Stoltenberg,politician,Former NATO chief; 7+ file mentions related to NATO funding discussions.,Stoltenberg,0,13,0,No,Norwegian
Jenson Smith,associate,Paralegal on the case.,,0,8,0,No,
Jeremy Cheung,other,In photograph found in email.,,0,219,0,No,
Jeremy Rubin,academic,MIT Bitcoin Club co-founder who pitched Epstein on crypto investments.,,0,1089,0,No,American
Jermaine Ruan,associate,"Received wire transfers from Ghislaine Maxwell JP Morgan account; appears in 4,821 DOJ documents.",,0,527,0,No,
Jerry Perenchio,business,President of Univision.,,0,5,0,No,
Jesse-J Cruz,business,Deutsche Bank professional involved in escalation review of Epstein-linked Southern Financial accounts.,Jesse Cruz,0,124,0,No,
Jessica Reed Kraus,other,"Substack writer and Maxwell apologist who received the Epstein binder from the White House after wearing a ""Free Ghislaine"" shirt",HouseInHabit; House Inhabit; House on Fire; houseinhabit,0,55,0,No,American
Jessica de Rothschild,socialite,"British socialite and actress, daughter of Evelyn de Rothschild and his first wife Jeanette Bishop. Listed in Jeffrey Epstein's contact black book. She moved in elite British and international social circles that overlapped with Ghislaine Maxwell's network. Her family's banking dynasty and connections to British aristocracy placed her within the broader social world documented in Epstein's address records.",Rothschild; Jessica Rothschild,0,354,0,Yes,British
Jibby 2j,associate,Sender of a message on Myspace.,,0,2,0,No,
Jide Zeitlin,business,"Nigerian-born American businessman who served as a partner at Goldman Sachs before becoming CEO of Tapestry, the luxury fashion group that owns Coach, Kate Spade, and Stuart Weitzman. Zeitlin resigned as Tapestry CEO in July 2020 after admitting to providing false information in response to a misconduct allegation. Named in Jeffrey Epstein email correspondence discussing business and social arrangements. His name appears in documents filed in civil proceedings related to the Epstein case.",,0,271,0,No,
Jill Biden,politician,Former First Lady; on DOJ 305 list via incidental news clippings.,Dr. Jill Biden,0,20,0,No,American
Jim Cayne,business,Former Bear Stearns CEO connected to Epstein's financial network,James Cayne; Jimmy Cayne,0,329,0,No,American
Jim Coleman,other,Audio Video Salon owner; provided AV equipment for Epstein properties.,James Coleman,0,322,0,No,American
Jimmy Buffett,celebrity,Singer-songwriter (Margaritaville); black book listing with Palm Beach address; appeared in Epstein photo with Clinton and Maxwell; on 1995 fundraiser guest list; died 2023; no allegations.,,0,45,0,Yes,American
Joan Rivers,celebrity,Comedian and TV host; listed in Epstein's black book (p. 46); deceased 2014.,Joan Alexandra Molinsky,0,67,0,Yes,American
Joanna Rubinstein,other,Swedish UNHCR chair who visited Epstein's island in 2012; resigned Feb 2026.,,0,112,0,No,Swedish
Joe Biden,politician,46th President; appears in 503 Epstein documents in indirect contexts; mentioned in Poetry in America funding emails and Cancer Moonshot correspondence; on DOJ 305-name list with no direct connection reported.,Biden; Joseph Biden,0,505,0,No,American
Joey Hunter,associate,,,0,428,0,Yes,
Johanna Sjoberg,other,Epstein accuser who provided deposition about New York mansion.,,0,55,0,No,American
Johanna Thuringer,associate,Swedish model who received Epstein wire transfers and evening appointments; KJK demand denied.,Johanna Maria Margareta Thuringer,0,154,0,No,Swedish
John 'Jack' Kessler,business,Co-founder of New Albany Company with Wexner; Epstein made general partner; black book entry.,John Kessler; Jack Kessler; Kessler; Jack 'Jack' Kessler,0,238,0,No,American
John Barrow,associate,Caller,Jack Barrow,0,47,0,No,
John Bolton,politician,Former NSA; mentioned in third-party discussions within Epstein's files.,Bolton; Jack Bolton,0,75,0,No,American
John Brennan,military-intelligence,Former CIA Director (2013-2017); named on DOJ 305 list of politically exposed persons in Epstein files; no documented direct contact with Epstein identified in public reporting.,Brennan; Jack Brennan,0,1623,0,No,American
John Cacioppo,academic,Social neuroscience pioneer; consulted by Epstein associate; died 2018.,Jack Cacioppo,0,94,0,No,American
John Catsimatidis,business,Billionaire businessman listed in Epstein's black book.,Jack Catsimatidis,0,124,0,Yes,American
John Cleese,celebrity,Monty Python comedian; 2 black book entries (page 11); 7 docs in released files; no allegations.,Jack Cleese,0,7,0,Yes,British
John Csakany,associate,Chief Deputy U.S. Marshal.,Jack Csakany,0,8,0,No,
John Duffy,business,Former JPMorgan banker named in Epstein lawsuits.,Jack Duffy,0,251,0,No,American
John Heah,business,"Luxury hospitality architect (Aman Resorts, Four Seasons) who received Epstein island design commission (2018)",Jack Heah,0,178,0,No,British
John Kerry,politician,"Former U.S. Secretary of State and Senator from Massachusetts; listed in Epstein black book with 7 phone numbers; received $4,000 in campaign donations from Epstein; named on DOJ 305 list.",John Forbes Kerry; Jack Kerry,0,575,0,Yes,American
John M O'Quinn,associate,Attorney,O'Quinn; John O'Quinn; Jack M O'Quinn,0,4,0,No,
John M. Eaves,associate,Attorney and donor,Eaves; John Eaves; Jack M. Eaves,0,79,0,No,
John Markoff,other,NYT tech journalist; on Dan Dubno's list of experts shared with Epstein.,Jack Markoff,0,109,0,No,American
John Paulson,business,Billionaire hedge fund manager; listed in Epstein's black book; documents show largely unreturned outreach from Epstein.,John Alfred Paulson; Jack Paulson,0,130,0,Yes,American
John Phelan,politician,U.S. Navy Secretary who flew on Epstein's Boeing 727 in 2006.,Jack Phelan,0,31,0,No,American
John Podesta,associate,Former White House Chief of Staff.,Jack Podesta,0,36,0,No,
John Ratcliffe,military-intelligence,Current CIA Director; on DOJ 305 list; subject of congressional demand to disclose CIA Epstein records after agency refused to confirm or deny their existence.,Ratcliffe; Jack Ratcliffe,0,84,0,No,American
John Turner,associate,Oil and gas/real estate professional making a donation.,Jack Turner,0,139,0,No,
John de Jongh,politician,Former USVI Governor 2007-2015; Epstein paid $70K in his children's college tuition; wife Cecile worked as Epstein's personal assistant.,Jongh; John Jongh; Jack de Jongh,0,745,0,No,American
"Johnson, C.J.",associate,Chief Judge,,0,34,0,No,
Jonathan Farkas,other,New York real estate developer. Emailed Epstein about speaking with Donald Trump and Melania Trump in April 2019. Wif...,Jon Farkas,0,1242,0,No,American
Jonathan Fascitelli,business,Real estate executive; proposed $80M+ deals through Epstein via Cayman Islands vehicles.,,0,5,0,No,American
Jools Holland,celebrity,British pianist and BBC host (Later... with Jools Holland); listed in Epstein's black book.,Julian Miles Holland,0,58,0,Yes,British
Joscha Bach,academic,AI researcher; Epstein funded his life 2013-2019 ($300K+ in donations plus personal expenses),Joscha Christoph Bach,0,1041,0,No,German-American
Joseph Cothron,legal,Appears in 153 case documents in legal/law enforcement capacity,Joseph Cothro,0,1046,0,No,American
Joseph Pecorino,associate,District Executive's Office.,Joe Pecorino,0,28,0,No,
Joseph Thakuria,academic,"MGH geneticist, Veritas Genetics co-founder; invoiced Epstein for genome sequencing.",Joe Thakuria,0,607,0,No,American
Joshua Chin-San,legal,Legal professional copied on Epstein-related attorney correspondence.,Joshua Chin; Joshua San,0,9,0,No,
Joshua Cooper Ramo,business,"Chairman/CEO of Sornay LLC, former Kissinger Associates VP and co-CEO. FedEx board member. Visited Epstein's Zorro Ra...",Josh Ramo; Josh Cooper Ramo; JCR; Joshua Ramo,0,1606,0,No,American
Joshua Kushner,business,Thrive Capital founder; brother of Jared Kushner; EFTA02504998.,,0,21,0,No,American
Joshua Shoshan,business,Financial professional cc'd on securities trades for Epstein accounts; worked with Paul Barrett and Richard Kahn.,,0,510,0,No,
José A. Cabranes,associate,Circuit Judge,Cabranes; José Cabranes,0,13,0,No,
Jude Hess,other,"Art dealer, former Christie's and Phillips executive. Close personal friend of Prince Andrew. No direct Epstein link ...",Judith Hess; Jude Hess Fine Arts,0,149,0,No,American
Judge Kaplan,associate,presiding judge in Prince Andrew lawsuit.,,0,36,0,No,
Judge Netman,associate,District Court Judge,,0,17,0,No,
Judge Pauley,associate,The judge presiding over the trial.,,0,57,0,No,
Judge Sullivan,associate,Author of a cited Alaska case precedent.,,0,429,0,No,
Judge Van Graafeiland,associate,dissenting judge in Flores case.,Graafeiland; Van Graafeiland,0,2,0,No,
Julia Santos,associate,"Recruiter and logistics coordinator in Epstein's network, active 2016-2018. Arranged travel for women from Russia to Paris.",Julia Sanotoss,0,14,0,No,
Julia Stepanova,associate,Russian Southern Trust employee who received Epstein wire transfers; linked to Thuringer via same bank statement.,Yulia Stepanova; Julia Cuomo; Julia S. Cuomo,0,46,0,No,Russian
Julian Leese,associate,Son of Douglas Leese. Maintained friendship with Epstein from 1980s through 2019 via his father's connection.,,0,393,0,No,British
Julian Schnabel,other,Artist and filmmaker listed in Epstein's black book.,,0,89,0,Yes,American
Julie Blackman,associate,expert or consultant hired by Kramer Levin.,,0,5,0,No,
Julie Taymor,celebrity,"Broadway/film director (The Lion King, Frida); email contact with Epstein 2009-2017; facilitated donation solicitation post-conviction.",,0,296,0,No,American
Juror ID: 50,associate,Potential juror in a court case.,Juror 50,0,145,0,No,
Juror No. 1 (Catherine Conrad),associate,juror in a trial,Conrad); Juror Conrad); Juror No. 1 (Ms. Conrad),0,7,0,No,
Juror number one,associate,subject of discussion regarding identity and background.,Juror one,0,247,0,No,
Justice Stevens,associate,Supreme Court Justice whose dissent is referenced.,,0,596,0,No,
KAYTLYN MARIE,associate,Someone interacting with Ugly Ken Hart on Myspace.,,0,429,0,No,
Kamala Harris,politician,Former VP; on DOJ 305 list; AI fake photos with Epstein debunked.,Harris,0,64,0,No,American
Kandace Blanchard,associate,Executive clinical director and donor.,,0,10,0,No,
Kare Idar Moljord,legal,Norwegian lawyer; brokered Epstein/Rod-Larsen apartment pressure deal.,Moljord; Kare Moljord,0,0,0,No,Norwegian
Karen Duffy,celebrity,MTV VJ and Revlon model; listed in Epstein's black book; diagnosed with neurosarcoidosis 1995; no allegations.,,0,39,0,Yes,American
Karen Erskine,other,House Manager for Jeffrey Epstein's residences; long-time domestic staff member in his inner circle.,,0,5,0,No,
Karen Gordon,associate,NZ co-manager of Epstein properties alongside husband Brice Gordon.,Karen L. Gordon; Karen Gordon; K. Gordon; Gordon,0,917,0,No,New Zealander
Karim Wade,politician,"Son of former Senegalese president; Epstein transferred $100,000 to lobby for his release from prison.",Karim Meissa Wade,0,1025,0,No,Senegalese
Karin Gustafson,associate,Modeling industry contact listed in Epstein's black book.,,0,5,0,Yes,Swedish
Karl Rove,politician,Republican strategist; 'Bush's Brain'; on DOJ 305 list via political reporting.,Rove,0,155,0,No,American
Kash Patel,legal,Current FBI Director; on DOJ 305 list; oversees bureau's Epstein investigation files.,Patel; Kashyap Patel,0,228,0,No,American
Katarina Witt,celebrity,German Olympic figure skater; gold medals in 1984 and 1988. Four-time World Champion. Listed in Epstein's black book with two phone numbers. No flight appearances. No allegations of wrongdoing.,,0,244,0,Yes,German
Kate,other,Maxwell trial witness (pseudonym); abused from age 17.,Maxwell Trial Pseudonym,0,8,0,No,British
Katherine Keating,socialite,"Australian journalist and daughter of PM Paul Keating; 1,000+ Epstein file mentions; seen leaving Epstein townhouse with Prince Andrew Dec 2010.",Kate Keating,0,1768,0,No,Australian
Katherine Slick,associate,Businesswoman and donor.,Kate Slick,0,18,0,No,
Kathryn Sigismund,associate,"Woody Allen assistant who coordinated all Allen-Epstein meetings. 1,058 EFTA documents.",,0,1064,0,No,American
Kathy Lindeman,other,Mentioned in Epstein's will.,,0,15,0,No,
Kati Wanek-Forsythe,business,Member of the Wanek family (Ashley Furniture/Holdings Inc.); held multiple trust and GRAT accounts at Deutsche Bank managed within Jeffrey Epstein's RM 82289 account cluster.,Kati Forsythe; Kati Wanek Forsythe; K.W. Forsythe,0,520,0,No,American
Katielynn Boyd Townsend,associate,Counsel for Reporters Committee for Freedom of the Press.,Townsend; Katielynn Townsend,0,28,0,No,
Katrina vanden Heuvel,celebrity,Editor and publisher of The Nation since 1995; progressive political commentator; listed in Epstein's black book.,Heuvel; Katrina Heuvel,0,12,0,Yes,American
Katya Gusarova,associate,Russian woman who visited Epstein regularly in New York and Paris from 2011 to 2017; appears in 731 documents.,Ekaterina Gusarova,0,183,0,No,Russian
Keir Starmer,politician,UK PM; fired Mandelson after Epstein file revelations; leadership challenge followed.,Starmer,0,24,0,No,British
Keith E. Rooney,associate,"Notary Public, England & Wales.",Rooney; Keith Rooney,0,29,0,No,
Keith Frankel,business,Supplement industry CEO (Vitaquest/Windmill Health); frequent visitor to Epstein's Palm Beach house 2009-2010.,,0,590,0,No,American
Kelly Bovino Umekubo,associate,Witness who failed to comply with subpoena.,Umekubo; Kelly Umekubo,0,9,0,No,
Kelly Friendly,associate,"Larry Summers aide who emailed Epstein from St. Thomas requesting help leaving the island, and coordinated PR strategy.",Kelly Crawford Friendly,0,94,0,No,American
Kellyanne Conway,politician,Political consultant listed in Epstein's black book.,Kellyanne Elizabeth Fitzpatrick,0,117,0,Yes,American
Ken Griffin,business,Citadel founder listed in Epstein's black book.,Kenneth Cordele Griffin; Kenneth Griffin,0,105,0,Yes,American
Ken Hart,associate,ClaimFox insurance claims associate linked to Epstein's Virgin Islands operations.,Kenneth Hart,0,891,0,No,
Ken Newton,associate,partner with Riviera Gaming Management Inc.,Kenneth Newton,0,170,0,No,
"Kenneth A. Polite, Jr.",associate,"Assistant Attorney General, Criminal Division, U.S. Department of Justice.","Kenneth Jr.; Kenneth A. Polite,; Ken A. Polite, Jr.",0,9,0,No,
Kenneth Hyle,associate,"recipient and sender of emails, reviewing and editing Epstein Reconstruction document.",Ken Hyle,0,9,0,No,
Kenneth Mapp,politician,Former USVI Governor 2015-2019; confirmed lunch on Epstein's island; received $160K+ in Epstein donations; suggested Epstein lend USVI $275M; named in victims lawsuit.,Ken Mapp,0,98,0,No,
Kenneth Marra,legal,Federal judge in the Southern District of Florida who ruled in February 2019 that prosecutors violated victims' rights in the 2008 Epstein non-prosecution agreement.,Ken Marra,0,648,0,No,American
Kevin Law,business,Former Universal Music executive; pitched Epstein on $30M fraudulent ticket resale scheme in Dec 2015.,,0,1320,0,No,American
Kevin Pistro,associate,Sender of the email,,0,6,0,No,
Kevin Rudd,politician,Former Australian PM on Epstein's 2014 meeting schedule.,Kevin Michael Rudd,0,200,0,No,Australian
Kevin Thompson,associate,IT consultant who worked for Epstein.,,0,96,0,Yes,American
Kevin Warsh,business,Trump's Fed Chair nominee; on St. Barth's guest list forwarded to Epstein.,Warsh,0,8,0,No,American
Kifah Laham,associate,Lebanese interior architect contracted to redesign Epstein's island properties in summer 2018.,,0,195,0,No,Lebanese
Kip Thorne,academic,Nobel physicist who attended Epstein-funded 2006 conference.,,0,105,0,No,American
Kira Dikhtyar,associate,"Moscow-born model and Moscow State University student who became an Epstein scout from 2009, offering to find ""a nice gymnast in Kiev.""",,0,0,0,No,Russian
Kirsten Le Pape,business,Accountant involved in Epstein fund administration; Averett University graduate.,,0,63,0,No,
Kjell Inge Rokke,business,Norway's richest person; named in Norwegian Epstein scandal context.,Rokke; Kjell Rokke,0,0,0,No,Norwegian
Kristofer Knutson,associate,Managing Director under Zuckerman who served as key intermediary transmitting estate documents to Epstein.,,0,160,0,No,American
L. Cristina Griffith,associate,Recipient of the email.,Griffith; L. Griffith,0,29,0,No,
L. N'Diaye,associate,Warden,,0,39,0,No,
L. Rafael Reif,academic,Former MIT president during Epstein donation scandal.,L. Reif,0,32,0,No,Venezuelan-American
Lady Victoria Hervey,socialite,British socialite who attended Epstein events.,Hervey; Victoria Hervey,0,68,0,Yes,British
Lamine N'DiayeLee Plourde,associate,"Sender of the email, likely a mental health professional.",Plourde; Lamine Plourde,0,367,0,No,
Lana Pozhidaeva,associate,MGIMO-trained Russian national who progressed from Brunel modeling agency to Epstein assistant. Belyakov drafted her visa recommendation. Founded WE Talks with Epstein Foundation funding.,Svetlana Pozhidaeva; Sophia Platt; Lana Pozhidaeva,0,8,0,Yes,Russian
Lana Zakocela,associate,Latvian model; Epstein associate featured in email correspondence.,,0,583,0,No,Latvian
Landon Thomas Jr.,associate,"NYT reporter fired for secret relationship with Epstein; tipped off articles, solicited donations.",Landon Jr.; Landon Thomas,0,1597,0,No,American
Lanna Belholovick,associate,"co-counsel or associated attorney, cc'd on the letter.",,0,22,0,No,
Lanna Leigh Belohlavek,associate,State Attorney's Office.,Belohlavek; Lanna Belohlavek,0,34,0,No,
Larry Delson,associate,"Founder of Delson International, Inc. Proposed manager of Epstein's family office with all staff reporting to him. Wired $100,574 to Epstein's Deutsche Bank account in Oct 2016. Appears in Epstein trust documents and extensive personal correspondence 2011-2019. FIT suspended him as adjunct lecturer after emails surfaced. Related to George Delson, Epstein's accountant (black book page 71).",Lawrence Delson,0,7,0,No,American
Larry Ellison,business,Oracle co-founder listed in Epstein's black book.,Lawrence Joseph Ellison; Lawrence Ellison,0,85,0,Yes,American
Larry Gagosian,business,Art dealer listed in Epstein's black book.,Lawrence Gagosian,0,244,0,Yes,American
Larry Laudan,associate,Philosopher of science referenced.,Lawrence Laudan,0,4,0,No,
Larry Morrisson,associate,Flight engineer on Epstein's Boeing 727.,Lawrence Morrisson; Larry Morrison; Lawrence Morrison,0,856,0,No,
Larry Page,business,"Google and Alphabet co-founder appearing in 300+ DOJ files; Epstein sought Silicon Valley access through connections to Page, Brin, and other tech leaders.",Lawrence Edward Page; Lawrence Page,0,34270,0,No,American
Laura Edelstein,associate,witness called by the government.,,0,9,0,No,
Laura Menninger,legal,"Lead defense counsel for Ghislaine Maxwell at trial; Haddon, Morgan and Foreman partner who argued Maxwell was scapegoated for Epstein's crimes.",,0,809,0,No,American
Lauren Book,politician,Florida Senate Minority Leader; childhood abuse survivor; founded Lauren's Kids; pushed for Epstein accountability in Florida; on DOJ 305 list.,Book,0,1921,0,No,American
Laurie Edelstein,associate,Attorney or representative submitting multiple letters to Judge Pauley.,,0,21,0,No,
Leah Jean,associate,Myspace user conversing with Cledus McTavern.,,0,537,0,No,
